time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.vsp
198193, , , , , , , , , , , , , , , , , , , , -0.8985000000000192, , , , , , , , , , , , , 
198293, , , , , , , , , , , , , , , , , , , , , -152794.0, , -0.5527641773462402, , , , , , , , , , 
198393, , , , , , , , , , , , , , , , , , , , -0.9050000000000193, , , , , , , , , , , , , 
198493, , , , , , , , , , , , , , , , , , , , , -157272.0, , -0.5033633691503802, , , , , , , , , , 
198693, , , , , , , , , , , , , true, , , , , , , -0.6961904761904498, -161419.0, , -2.2191916756209777, , , true, true, , , , , , 
198893, , , , , , , , , , , , , false, , , , , , , -0.9495000000000202, -165687.0, , -0.48874343500691064, , , false, false, , , , , , 
199093, , , , , , , , , , , , , , , , , , , , -0.8810000000000188, -170198.0, , -0.7261473345804152, , , , , , , , , , 
199293, , , , , , , , , , , , , , , , , , , , -0.9045000000000192, -174694.0, , -0.4518995967661976, , , , , , , , , , 
199493, , , , , , , , , , , , , , , , , , , , -0.9075000000000194, -179160.0, , -0.505824670011416, , , , , , , , , , 
199693, , , , , , , , , , , , , , , , , , , , -0.9070000000000193, -183637.0, , -0.5195880093373635, , , , , , , , , , 
199893, , , , , , , , , , , , , , , , , , , , -0.8955000000000191, -188110.0, , -0.5403640209306596, , , , , , , , , , 
200093, , , , , , , , , , , , , , , , , , , , -0.8642857142856815, -192586.0, , -0.5859297642141337, , , , , , , , , , 
200293, , , , , , , , , , , , , , , , , , , , -0.9115000000000195, -197065.0, , -0.4738786315246071, , , , , , , , , , 
200493, , , , , , , , , , , , , , , , , , , , -0.9070000000000193, -201538.0, , -0.5089461073580315, , , , , , , , , , 
200693, , , , , , , , , , , , , , , , , , , , -0.9015000000000192, -206011.0, , -0.5317430176059151, , , , , , , , , , 
200893, , , , , , , , , , , , , true, , , , , , , -0.7880000000000167, -210429.0, , -0.9599219382937699, , , true, true, , , , , , 
201093, , , , , , , , , , , , , false, , , , , , , -0.8623809523809197, -214381.0, , -1.177812195125196, , , false, false, , , , false, false, 
201293, , , , , , , , , , , , , , , , , , , , -0.8480952380953495, -218971.0, , -0.5410219435547843, , , , , , , , , , 
201493, , , , , , , , , , , , , , , , , , , , -0.9175000000000195, -223414.0, , -0.4293450578826269, , , , , , , , , , 
201693, 25.000000000000533, 0.012500000000000266, , , , , , , , , , , , , , , , , , -0.8940000000000191, -227874.0, , -0.5654563590192265, , , , , , , , , , 
201893, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.8920000000000191, -232356.0, , -0.5387624184240777, , , , , , , , , , 
202093, , , , , , , , , , , , , , , , , , , , -0.888999999999861, -236826.0, , -0.5686843469355044, , , , , , , , , , 
202293, , , , , , , , , , , , , , , , , , , , -0.8875000000000189, -241304.0, , -0.5622592215839904, , , , , , , , , , 
202493, , , , , , , , , , , , , , , , , , , , -0.9020000000000192, -245778.0, , -0.5137565035092375, , , , , , , , , , 
202693, , , , , , , , , , , , , , , , , , , , -0.8830000000000188, -250249.0, , -0.5751855672276616, , , , , , , , , , 
202893, , , , , , , , , , , , , , , , , , , , -0.8905000000000189, -254725.0, , -0.5626389217383294, , , , , , , , , , 
203093, , , , , , , , , , , , , , , , , , , , -0.8874999999998613, -259202.0, , -0.5206240255929261, , , , , , , , , , 
203293, , , , , , , , , , , , , , , , , , , , -0.8930000000000191, -263671.0, , -0.544313446607006, , , , , , , , , , 
203493, , , , , , , , , , , , , , , , , , , , -0.8880000000000189, -268141.0, , -0.583981947127475, , , , , , , , , , 
203693, , , , , , , , , , , , , , , , , , , , -0.8790000000000188, -272616.0, , -0.5856479069042562, , , , , , , , , , 
228093, , , , , , , , , , , , , , , , , , , , -0.008000000000001591, -377427.0, , -5.797258646194108, , , , , , , , , , 
228293, , , , , , , , , , , , , , , , , , , , -0.42899999999993293, -378656.0, , -7.332169863089676, , , , , , , , , , 
228493, , , , , , , , , , , , , , , , , , , , -0.769473684210593, -381688.0, , -3.3012347252101755, , , , , , , , , , 
228693, , , , , , , , , , , , , , , , , , , , -0.9624999999998496, -386004.0, , -0.3518207464707703, , , , , , , , , , 
228893, , , , , , , , , , , , , , , , , , , , -0.9115789473685001, -390502.0, , -0.6669543466485303, , , , , , , , , , 
229093, , , , , , , , , , , , , , , , , , , , -0.9094999999998579, -395000.0, , -0.4422078431027403, , , , , , , , , , 
