time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.nto, spid.vsp
37204, , , , , , , , , , , , , , , , , , , , -0.9040000000008221, -5200362.0, , -0.6199054190039933, , , , , , , , , , , 
37404, , , , , , , , , , , , , , , , , , , , -0.900500000000819, -5204930.0, , -0.6121738768597661, , , , , , , , , , , 
37604, , , , , , , , , , , , , , , , , , , , -0.9039999999982529, -5209502.0, , -0.5811284328294787, , , , , , , , , , , 
37804, 12.500000000011369, 0.006250000000005684, , , , , , , , , , true, , , , , , , , -0.9085000000008263, -5214063.0, , -0.5702244165987395, , , , , , , , false, false, , 
38004, , , , , , , , , , , , false, , , , , , , , -0.9195000000008363, -5218634.0, , -0.5407875528179829, , , , , , , , , , , 
38204, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9135000000008308, -5223192.0, , -0.6081953181673889, , , , , , , , , , , 
38404, , , , , , , , , , , , , , , , , , , , -0.9175000000008344, -5227759.0, , -0.5853601392904529, , , , , , , , , , , 
38604, , , , , , , , , , , , , , , , , , , , -0.919499999998223, -5232328.0, , -0.5562648989495556, , , , , , , , , , , 
38804, , , , , , , , , , , , , , , , true, , , , -0.9165000000008335, -5236892.0, , -0.5353118954215788, , , , , , , , true, true, , 
39004, , , , , , , , , , , , , , , , false, , , , -0.9140000000008314, -5241449.0, , -0.5784743097558094, , , , , , , , , , , 
39204, , , , , , , , , , , , , , , , , , , , -0.9135000000008308, -5246015.0, , -0.5796781772602208, , , , , , , , , , , 
39404, , , , , , , , , , , , , , , , , , , , -0.9190000000008358, -5250572.0, , -0.5924009541281848, , , , , , , , , , , 
39604, 12.499999999975842, 0.006249999999987921, , , , , , , , , , , , , , , , , , -0.9039999999982529, -5255144.0, , -0.6038609355517365, , , , , , , , , , , 
39804, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9105000000008282, -5259711.0, , -0.5781711068609493, , , , , , , , , , , 
40004, , , , , , , , , , , , , , , , , , , , -0.7370000000006702, -5263909.0, , -2.31371266634383, , , , , , , , , , , 
40204, , , , , , , , , , , , , , , , , , , , -0.9420000000008568, -5268182.0, , -0.760126644687325, , , , , , , , , , , 
40404, , , , , , , , , , , , , , , , , , , , -0.8940000000008131, -5272829.0, , -0.6181437406457517, , , , , , , , , , , 
40604, -11.904761904753398, -0.005952380952376699, , , , , , , , , , , true, , , , , , , -0.9239999999982141, -5277394.0, , -0.4862203919004987, , , true, true, , , , , , , 
40804, 0.0, 0.0, 12.500000000011369, 0.005000000000004548, , , , , , , , , false, , , , , , , -0.8095000000007362, -5281409.0, , -2.1315443043706526, , , false, false, , , , , , , 
41004, -12.500000000011369, -0.006250000000005684, , , , , , , , , , , , , , , , , , -0.9570000000008704, -5285940.0, , -0.3099597601687401, , , , , , , , , , , 
41204, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -0.8685714285708079, -5290513.0, , -0.7526747192592921, , , , , , , , , , , 
41404, , , , , , , , , , , , , true, , , , , , , -0.9000000000008186, -5295081.0, , -0.6010009577107248, , , true, true, , , , , , , 
41604, , , -12.500000000011369, -0.005000000000004548, , , , , , , , , false, , , , , , , -0.8779999999983031, -5298997.0, , -1.5949132766069942, , , false, false, , , , , , , 
41804, , , 0.0, 0.0, , , , , , , , , , , , , , , , -0.9657894736839332, -5303665.0, , -0.19986292221124674, , , , , , , , , , , 
42004, , , , , , , , , , , , , , , , , , , , -0.9100000000008277, -5308177.0, , -0.6771221666373295, , , , , , , , , , , 
42204, -12.500000000011369, -0.006250000000005684, , , , , , , , , , , , , , , , , , -0.7350000000006686, -5312387.0, , -2.36387055567061, , , , , , , , , , , 
42404, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9300000000008459, -5316641.0, , -0.828208257177439, , , , , , , , , , , 
42604, , , , , , , , , , , , , , , , , , , , -0.892499999998275, -5321302.0, , -0.5573366724234075, , , , , , , , , , , 
42804, , , , , , , , , , , , , , , , , , , , -0.9170000000008339, -5325849.0, , -0.621500677869557, , , , , , , , , , , 
43004, , , , , , , , , , , , , , , , , , , , -0.9045000000008226, -5330425.0, , -0.5647616623987488, , , , , , , , , , , 
43204, , , , , , , , , , , , , , , , , , , , -0.9610526315786713, -5334986.0, , -0.45229592935753316, , , , , , , , , , , 
43404, , , , , , , , , , , , , , , , , , , , -0.8719047619041389, -5339552.0, , -0.7422845632021053, , , , , , , , , , , 
43604, , , , , , , , , , , , , , , , , , , , -0.9199999999982219, -5344127.0, , -0.43966685359322033, , , , , , , , , , , 
43804, , , , , , , , , , , , , , , , , , , , -0.9145000000008318, -5348690.0, , -0.46588927118625906, , , , , , , , , , , 
44004, , , , , , , , , , , , , , , , , , , , -0.9245000000008408, -5353260.0, , -0.4580435103313339, , , , , , , , , , , 
44204, , , , , , , , , , , , , , , , , , , , -0.9536842105260419, -5357839.0, , -0.398126988180662, , , , , , , , , , , 
44404, , , , , , , , , , , , , , , , , , , , -0.9225000000008391, -5362391.0, , -0.4862510238720006, , , , , , , , , , , 
44604, , , , , , , , , , , , , , , , , , , , -0.9120000000008295, -5366969.0, , -0.5843850952900902, , , , , , , , , , , 
44804, , , , , , , , , , , , , , , , , , , , -0.9442105263155183, -5371523.0, , -0.5374658622307251, , , , , , , , , , , 
45004, , , , , , , , , , , , , , , , , , , , -0.9164999999982287, -5376111.0, , -0.5167127880416373, , , , , , , , , , , 
45204, , , , , , , , , , , , , , , , , , , , -0.9069999999982471, -5380669.0, , -0.6561284057806152, , , , , , , , , , , 
45404, , , , , , , , , , , , , , , , , , , , -0.918000000000835, -5385249.0, , -0.5624295878632619, , , , , , , , , , , 
45604, , , , , , , , , , , , , , , , , , , , -0.9599999999997243, -5389809.0, , -0.39574625181910594, , , , , , , , , , , 
45804, , , , , , , , , , , , , , , , , , , , -0.9100000000008277, -5394376.0, , -0.6183199323345125, , , , , , , , , , , 
46004, , , , , , , , , , , , , , , , , , , , -0.9109999999982393, -5398948.0, , -0.5976547641847392, , , , , , , , , , , 
46204, , , , , , , , , , , , , , , , , , , , -0.9174999999982267, -5403523.0, , -0.5473627745155409, , , , , , , , , , , 
46404, , , , , , , , , , , , , , , , , , , , -0.918000000000835, -5408084.0, , -0.5859834402644756, , , , , , , , , , , 
46604, , , , , , , , , , , , , , , , , , , , -0.9499999999997272, -5412649.0, , -0.4400215114830935, , , , , , , , , , , 
46804, , , , , , , , , , , , , , , , , , , , -0.9175000000008344, -5417219.0, , -0.5677663784599718, , , , , , , , , , , 
47004, , , , , , , , , , , , , , , , , , , , -0.869047619046998, -5421783.0, , -0.6580077341935757, , , , , , , , , , , 
47204, , , , , , , , , , , , , , , , , , , , -0.9234999999982152, -5426359.0, , -0.517226872020543, , , , , , , , , , , 
47404, , , , , , , , , , , , , , , , , , , , -0.9015000000008199, -5430919.0, , -0.6066713413853649, , , , , , , , , , , 
47604, , , , , , , , , , , , , , , , , , , , -0.9155000000008326, -5435488.0, , -0.5630391956499298, , , , , , , , , , , 
47804, , , , , , , , , , , , , , , , , , , , -0.9090000000008267, -5440057.0, , -0.5870346826798869, , , , , , , , , , , 
48004, , , , , , , , , , , , , , , , , , , , -0.8904999999982789, -5444621.0, , -0.6214897214814463, , , , , , , , , , , 
48204, , , , , , , , , , , , , , , , , , , , -0.9114999999982384, -5449191.0, , -0.5589135100352378, , , , , , , , , , , 
48404, , , , , , , , , , , , , , , , , , , , -0.9230000000008395, -5453762.0, , -0.5582486421199028, , , , , , , , , , , 
48604, , , , , , , , , , , , , , , , , , , , -0.9140000000008314, -5458326.0, , -0.5788449568322376, , , , , , , , , , , 
48804, , , , , , , , , , , , , , , , , , , , -0.9015000000008199, -5462895.0, , -0.5906872940486809, , , , , , , , , , , 
49004, , , , , , , , , , , , , , , , , , , , -0.9104999999982403, -5467464.0, , -0.5902159688672108, , , , , , , , , , , 
49204, , , , , , , , , , , , , , , , , , , , -0.9109999999982393, -5472029.0, , -0.5829510049501732, , , , , , , , , , , 
49404, , , , , , , , , , , , , , , , , , , , -0.9250000000008413, -5476599.0, , -0.5673421737847657, , , , , , , , , , , 
49604, , , , , , , , , , , , , , , , , , , , -0.9040000000008221, -5481169.0, , -0.5888584415719269, , , , , , , , , , , 
49804, , , , , , , , , , , , , , , , , , , , -0.8915000000008109, -5485729.0, , -0.616865256746365, , , , , , , , , , , 
50004, , , , , , , , , , , , , , , , , , , , -0.9004999999982596, -5490298.0, , -0.616553829412791, , , , , , , , , , , 
50204, , , , , , , , , , , , , , , , , , , , -0.9134999999982346, -5494869.0, , -0.576754408336763, , , , , , , , , , , 
50404, , , , , , , , , , , , , , , , , , , , -0.9120000000008295, -5499435.0, , -0.5840980695964281, , , , , , , , , , , 
50604, , , , , , , , , , , , , , , , , , , , -0.914285714285061, -5504022.0, , -0.6007398387343946, , , , , , , , , , , 
50804, , , , , , , , , , , , , , , , , , , , -0.9360000000008513, -5508576.0, , -0.5093727155303422, , , , , , , , , , , 
51004, , , , , , , , , , , , , , , , , , , , -0.9039999999982529, -5513135.0, , -0.5959014264345115, , , , , , , , , , , 
51204, , , , , , , , , , , , , , , , , , , , -0.9239999999982141, -5517713.0, , -0.4982400388875558, , , , , , , , , , , 
51404, , , , , , , , , , , , , , , , , , , , -0.9135000000008308, -5522243.0, , -0.6069406122188612, , , , , , , , , , , 
51604, , , , , , , , , , , , , , , , , , , , -0.9119999999982374, -5526816.0, , -0.5677045334500725, , , , , , , , , , , 
51804, , , , , , , , , , , , , , , , , , , , -0.9110000000008286, -5531380.0, , -0.5928443344152747, , , , , , , , , , , 
52004, , , , , , , , , , , , , , , , , , , , -0.9090000000008267, -5535946.0, , -0.5960404187488293, , , , , , , , , , , 
