time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.vsp
90498, , , , , , , , , , , , , , , , , , , , -21737.49999995799, , -0.5596651292235838, , , , , , , , , , 
90698, , , , , , , , , , , , , , , , , , , , -21924.999999957625, , -0.5170496730961277, , , , , , , , , , 
90898, , , , , , , , , , , , , , , , true, , , , -21987.500000019998, , -0.5110943721589484, , , , , , , , true, true, 
91098, -12.500000000011369, -0.006250000000005684, 12.499999999975842, 0.004999999999990337, , , , , , , , , , , , , , , , -21650.000000019692, , -0.5438455762672766, , , , , , , , , , 
91198, , , , , , , , , , , , , , , , false, , , , , , , , , , , , , , , , 
91298, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
91398, , , , , , , , , , , , , , , , , , , , -21975.000000019987, , -0.5133437583637551, , , , , , , , , , 
91498, , , , , , , , , , , , , , , , , , , , -21674.99999995811, , -0.5472309219352792, , , , , , , , , , 
91698, -26.315789473676652, -0.013157894736838326, 12.500000000011369, 0.005000000000004548, , , , , , , , , , , , , , , , -21825.00000001985, , -0.5046643675608775, , , , , , , , , , 
91898, 13.157894736838326, 0.006578947368419163, -12.499999999975842, -0.004999999999990337, , , , , , , , , , , , , , , , -21887.499999957698, , -0.40494366649844415, , , , , , , , , , 
92098, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -22512.500000020475, , -0.4300463669019973, , , , , , , , , , 
92298, , , , , , , , , , , , , , , , , , , , -21725.000000019758, , -0.5603922833223715, , , , , , , , , , 
92498, , , , , , , , , , , , , , , , , , , , -21724.999999958014, , -0.5370460314524589, , , , , , , , , , 
92698, , , , , , , , , , , , , , , , , , , , -21962.499999957552, , -0.508055157422361, , , , , , , , , , 
92898, , , , , , , , , , , , , , , , , , , , -21987.500000019998, , -0.535221942294691, , , , , , , , , , 
93098, , , , , , , , , , , , , , , , , , , , -21900.000000019918, , -0.5339040342059489, , , , , , , , , , 
93298, , , , , , , , , , , , , , , , , , , , -21837.50000001986, , -0.5056207753065192, , , , , , , , , , 
93498, , , , , , , , , , , , , , , , , , , , -22274.999999956948, , -0.5022126773612127, , , , , , , , , , 
93698, , , , , , , , , , , , , , , , , , , , -21737.49999995799, , -0.5242172979070346, , , , , , , , , , 
93898, , , , , , , , , , , , , , , , , , , , -21887.500000019907, , -0.534210371446221, , , , , , , , , , 
94098, , , , , , , , , , , , , , , , , , , , -21975.000000019987, , -0.5350709258074967, , , , , , , , , , 
94298, , , , , , , , , , , , , , , , , , , , -21737.50000001977, , -0.5339404060579418, , , , , , , , , , 
94498, , , , , , , , , , , , , , , , , , , , -21899.999999957676, , -0.5434707152052961, , , , , , , , , , 
94698, , , , , , , , , , , , , , , , , , , , -21949.999999957578, , -0.5204027002685052, , , , , , , , , , 
94898, , , , , , , , , , , , , , , , , , , , -21962.500000019976, , -0.5330019262739916, , , , , , , , , , 
95098, , , , , , , , , , , , , , , , , , , , -21950.000000019965, , -0.5423035640858798, , , , , , , , , , 
95298, , , , , , , , , , , , , , , , , , , , -21850.000000019874, , -0.5225743481025947, , , , , , , , , , 
95498, , , , , , , , , , , , , , , true, , , , , -22462.499999956588, , -0.6737547140864918, , -0.92, , , , , , , , 
95698, , , , , , , , , , , , , , , , , , , , -22962.49999995562, , -0.7425200280729531, , -0.95, , , , , , , , 
95898, , , , , , , , , , , , , , , false, , , , , -23037.50000002095, , -0.5104194204054802, , , , , , , , , , 
96098, , , , , , , , , , , , , , , , , , , , -23175.00000002108, , -0.5562560225081888, , , , , , , , , , 
96298, , , , , , , , , , , , , , , , , , , , -22825.00000002076, , -0.6029837349771423, , , , , , , , , , 
96498, , , , , , , , , , , , , , , , , , , , -22937.499999955668, , -0.5715392333944983, , , , , , , , , , 
96698, , , , , , , , , , , , , , , , , , , , -22874.99999995579, , -0.5738590144017035, , , , , , , , , , 
96898, , , , , , , , , , , , , , , , , , , , -23512.500000021384, , -0.5219116348031548, , , , , , , , , , 
97098, , 0.09027777777777773, 11.904761904753398, -0.06607142857143194, 0.06944444444444442, 0.02777777777777777, , , , , , , , , , , , , , -23337.500000021224, , -0.5652928390744819, , , , , , , , , , 
97298, -62.50000000005684, 0.25651041666663815, 12.500000000011369, -0.2207812499999954, 0.22135416666666663, 0.08854166666666666, , , , , , , , , , , , , , -23025.00000002094, , -0.5555557943119203, , , , , , , , , , 
97498, -325.0000000002956, 0.35095486111096336, 324.9999999993719, -0.2728645833335846, 0.3949652777777778, 0.1579861111111111, , , , , , , , , , , , , , -23049.999999955453, , -0.5887657131146224, , , , , , , , , , 
97698, 87.49999999983089, 0.04374999999991545, -13.157894736838326, -0.005263157894735331, 0.0, 0.0, , , , , , , , , , , , , , -22812.49999995591, , -0.5690072672105253, , , , , , , , , , 
97898, -12.499999999975842, -0.006249999999987921, 13.157894736838326, 0.005263157894735331, , , , , , , , , , , , , , , , -22950.000000020875, , -0.5961523268305517, , , , , , , , , , 
98098, -200.0000000001819, 0.4134548611110202, 150.00000000013642, -0.3428645833332788, 0.3949652777777778, 0.1579861111111111, , , , , , , , , , , , , , -22900.000000020827, , -0.6050717123581435, , , , , , , , , , 
